id,title,authors,conference,year,official_page,pdf_link,status_or_award,source_url
ICLR2024-0001,LabelDP-Pro: Learning with Label Differential Privacy via Projections,"Badih Ghazi, Yangsibo Huang, Pritish Kamath, Ravi Kumar, Pasin Manurangsi, Chiyuan Zhang",ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/00153f90d9177dd3a872133972bc8dea-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/00153f90d9177dd3a872133972bc8dea-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2024
ICLR2024-0002,Implicit Maximum a Posteriori Filtering via Adaptive Optimization,"Gianluca Bencomo, Jake Snell, Thomas L. Griffiths",ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/0029db782591f06e5f12926ea3987ee6-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/0029db782591f06e5f12926ea3987ee6-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2024
ICLR2024-0003,The Unreasonable Effectiveness of Linear Prediction as a Perceptual Metric,"Daniel Severo, Lucas Theis, Johannes Ballé",ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/00358de35a101a372ea0412bed913c86-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/00358de35a101a372ea0412bed913c86-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2024
ICLR2024-0004,Batch Calibration: Rethinking Calibration for In-Context Learning and Prompt Engineering,"Han Zhou, Xingchen Wan, Lev Proleev, Diana Mincu, Jilin Chen, Katherine Heller, Subhrajit Roy",ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/003e438cf04e3caf0a5c908495e484fe-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/003e438cf04e3caf0a5c908495e484fe-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2024
ICLR2024-0005,LLM Augmented LLMs: Expanding Capabilities through Composition,"Rachit Bansal, Bidisha Samanta, Siddharth Dalmia, Nitish Gupta, Sriram Ganapathy, Abhishek Bapna, Prateek Jain, Partha Talukdar",ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/008a16ead32f932b711788c276890456-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/008a16ead32f932b711788c276890456-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2024
ICLR2024-0006,SEA: Sparse Linear Attention with Estimated Attention Mask,"Heejun Lee, Jina Kim, Jeff Willette, Sung Ju Hwang",ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/00d1f03b87a401b1c7957e0cc785d0bc-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/00d1f03b87a401b1c7957e0cc785d0bc-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2024
ICLR2024-0007,Towards Understanding Sycophancy in Language Models,"Mrinank Sharma, Meg Tong, Tomek Korbak, David Duvenaud, Amanda Askell, Sam Bowman, Esin DURMUS, Zac Hatfield-Dodds, Scott Johnston, Shauna Kravec, Timothy Maxwell, Sam McCandlish, Kamal Ndousse, Oliver Rausch, Nicholas Schiefer, Da Yan, Miranda Zhang, Ethan Perez",ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/0105f7972202c1d4fb817da9f21a9663-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/0105f7972202c1d4fb817da9f21a9663-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2024
ICLR2024-0008,Entropy Coding of Unordered Data Structures,"Julius Kunze, Daniel Severo, giulio zani, Jan-Willem van de Meent, James Townsend",ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/010c5ba0cafc743fece8be02e7adb8dd-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/010c5ba0cafc743fece8be02e7adb8dd-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2024
ICLR2024-0009,Nemesis: Normalizing the Soft-prompt Vectors of Vision-Language Models,"Shuai Fu, Xiequn Wang, Qiushi Huang, Yu Zhang",ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/010c855df402b443e0c16e5b7434e74c-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/010c855df402b443e0c16e5b7434e74c-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2024
ICLR2024-0010,What does the Knowledge Neuron Thesis Have to do with Knowledge?,"Jingcheng Niu, Andrew Liu, Zining Zhu, Gerald Penn",ICLR,2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/013d743db3c684957305d32017f13339-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2024/file/013d743db3c684957305d32017f13339-Paper-Conference.pdf,Main Conference,https://proceedings.iclr.cc/paper_files/paper/2024
